"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 09- 05","13,860","13,880","13,930","13,800","71.85K","-1.07%"
"2024- 09- 04","14,010","14,045","14,045","13,965","42.68K","0.21%"
"2024- 09- 03","13,980","13,915","14,040","13,915","32.91K","0.36%"
"2024- 09- 02","13,930","13,895","13,970","13,880","34.44K","0.61%"
"2024- 08- 30","13,845","13,810","13,855","13,800","10.70K","0.22%"
"2024- 08- 29","13,815","13,915","13,915","13,790","23.14K","-0.65%"
"2024- 08- 28","13,905","13,715","13,925","13,715","67.01K","1.09%"
"2024- 08- 27","13,755","13,715","13,790","13,715","35.19K","0.66%"
"2024- 08- 26","13,665","13,645","13,695","13,520","141.06K","-1.80%"
"2024- 08- 23","13,915","13,950","13,990","13,885","82.38K","0.58%"
"2024- 08- 22","13,835","13,805","13,920","13,785","68.88K","-0.07%"
"2024- 08- 21","13,845","13,705","13,875","13,670","198.22K","0.36%"
"2024- 08- 20","13,795","13,755","13,850","13,630","157.44K","-0.04%"
"2024- 08- 19","13,800","14,165","14,170","13,725","231.84K","-3.50%"
"2024- 08- 16","14,300","14,425","14,440","14,300","26.15K","-0.42%"
"2024- 08- 14","14,360","14,430","14,440","14,325","45.98K","-1.37%"
"2024- 08- 13","14,560","14,560","14,590","14,515","31.73K","-0.14%"
"2024- 08- 12","14,580","14,450","14,590","14,420","59.50K","0.97%"
"2024- 08- 09","14,440","14,650","14,700","14,365","61.12K","-1.77%"
"2024- 08- 08","14,700","14,685","14,745","14,660","14.21K","0.24%"
"2024- 08- 07","14,665","14,650","14,730","14,620","28.91K","0.10%"
"2024- 08- 06","14,650","14,570","14,655","14,480","59.75K","0.21%"
"2024- 08- 05","14,620","14,335","14,620","14,215","103.66K","0.41%"
"2024- 08- 02","14,560","14,545","14,675","14,500","81.23K","0.87%"
"2024- 08- 01","14,435","14,520","14,520","14,360","99.04K","-1.57%"
"2024- 07- 31","14,665","14,825","14,830","14,665","46.03K","-1.18%"
"2024- 07- 30","14,840","14,775","14,865","14,770","24.08K","0.41%"
"2024- 07- 29","14,780","14,845","14,855","14,730","42.09K","-0.54%"
"2024- 07- 26","14,860","14,835","14,875","14,805","32.49K","0.20%"
"2024- 07- 25","14,830","14,810","14,895","14,805","28.77K","0.17%"
"2024- 07- 24","14,805","14,855","14,880","14,780","15.60K","-0.34%"
